id,group,score
1,A,8
2,A,5
3,A,7
4,A,1
5,A,1
6,A,1
7,A,8
8,A,7
9,A,5
10,A,7
11,A,6
12,A,6
13,A,9
14,A,7
15,A,8
16,A,8
17,A,6
18,A,7
19,A,8
20,A,7
21,A,9
22,A,7
23,A,8
24,A,7
25,A,6
26,A,7
27,A,6
28,A,9
29,A,7
30,A,10
31,A,7
32,A,6
33,A,6
34,A,7
35,A,6
36,A,8
37,A,6
38,A,5
39,A,9
40,A,7
41,A,10
42,A,6
43,A,8
44,A,3
45,A,10
46,A,3
47,A,10
48,A,1
49,A,10
50,A,7
51,A,7
52,A,1
53,A,9
54,A,7
55,A,7
56,A,4
57,A,6
58,A,10
59,A,8
60,A,5
61,A,10
62,A,5
63,A,6
64,A,10
65,B,8
66,B,6
67,B,5
68,B,4
69,B,9
70,B,6
71,B,6
72,B,7
73,B,6
74,B,8
75,B,9
76,B,8
77,B,9
78,B,4
79,B,8
80,B,7
81,B,10
82,B,7
83,B,8
84,B,6
85,B,5
86,B,9
87,B,6
88,B,6
89,B,5
90,B,6
91,B,7
92,B,5
93,B,5
94,B,6
95,B,6
96,B,7
97,B,7
98,B,8
99,B,8
100,B,10
101,B,7
102,B,5
103,B,8
104,B,6
105,B,9
106,B,9
107,B,10
108,B,6
109,B,1
110,B,8
111,B,6
112,B,5
113,B,7
114,B,7
115,B,10
116,B,6
117,B,5
118,B,8
119,B,7
120,B,6
121,B,9
